id;code_type_structure;libelle;libelle_court;libelle_pluriel;url_complete;url_simplifie;ordre
1;open-source Berkshire Bourgogne;Outdoors a;Automotive Account white;Chine;Specialiste Investment Saint-Séverin;parsing matrix Towels;63072
2;d'Orsel red;Ouguiya Bedfordshire metrics;overriding la Saint-Christophe-et-Niévès;Car cross-media Soft;generating copying e-tailers;Focused Île-de-France calculating;65808
3;strategize expedite Borders;Faubourg-Saint-Denis;Chaussée-d'Antin b iterate;content synthesize matrix;a Fish back-end;Specialiste copying Secured;22561
4;Handcrafted ROI;Investment invoice;relationships efficient open-source;Credit compress;Rican synthesizing;static;18477
5;parsing virtual;bluetooth;standardization program;Extended Buckinghamshire Handmade;paradigms e-services;azure Wooden;13041
6;Bourgogne c;solid;innovate emulation primary;analyzing bandwidth-monitored;infrastructures;Népal Automotive c;63056
7;Awesome c;1080p Kids;cross-platform payment;conglomeration Producteur;Synchronised Account concept;b c;32300
8;Fantastic;users channels override;synthesizing interfaces portals;explicit;HTTP Account Bretagne;Somalie programming;14501
9;vortals Shoes transmit;b Bacon Solomon;c Australie;virtual Plastic;experiences;Aquitaine;28094
10;transmitting c actuating;quantifying;programming withdrawal moderator;JSON;Computer;Metal matrix calculate;91019
