id;code_structure;date_de_creation;date_de_cloture;code_ameli;code_sirpas;code_reprographie;article;libelle;libelle_court;libelle_long;ordre;publication_sur_internet
1;rich;2022-01-17;2022-01-16;Botswana bluetooth connecting;driver Intuitive withdrawal;Avon capacitor;indexing eyeballs multi-byte;Manat Games cross-platform;Bedfordshire;global c Arménie;73098;invoice
2;context-sensitive Fish;2022-01-17;2022-01-16;Shoes;withdrawal invoice indexing;c Cheese;b a;Borders Namibie Rustic;Chypre Fresh;Soft;33246;Jewelery enhance forecast
3;incubate;2022-01-17;2022-01-17;grey Monténégro HDD;B2C Adolphe asynchronous;Plastic;Ukraine overriding;Djibouti Credit compress;Soft d'Azur challenge;Streamlined;97113;functionalities
4;invoice;2022-01-16;2022-01-17;productize;optical open-source;Lombards Garden;Pays withdrawal;scalable fuchsia invoice;Dirham Plastic;Small Kyat;14485;azure
5;mobile Ergonomic a;2022-01-16;2022-01-16;indigo Corse;Cross-platform;brand back-end green;invoice Savings;Royale;withdrawal;Re-contextualized;99503;override
6;deposit payment;2022-01-16;2022-01-17;salmon;benchmark Stagiaire optical;overriding Electronics olive;Lev;Plastic;olive SMS THX;d'Argenteuil;89283;value-added AGP implementation
7;Buckinghamshire Concrete transmitting;2022-01-17;2022-01-17;Metal Wooden;recontextualize Chat-qui-Pêche;ADP;connect override;Jewelery Solférino Table;a Avon RSS;matrix technologies Toys;14238;cyan Mauritius
8;real-time;2022-01-17;2022-01-16;Refined Account;Keyboard Consultant synergies;Soft Wooden quantifying;Tools Shoes;deposit generating calculating;a Investment;Rubber extranet Cotton;65170;front-end maximize transparent
9;Cordoba Tasty;2022-01-16;2022-01-16;Charlemagne Concrete;ivory withdrawal transitional;Refined Argentine;back-end;Intelligent b Licensed;hack;24/7;52846;Saint-Bernard up
10;convergence;2022-01-16;2022-01-17;deposit regional;b;c sensor Practical;instruction;synthesize c parse;Sudanese Sudanese;European;58240;Peso
