id;matricule;date_debut;date_fin;date_election;observation;departement;libelle;article;motif_de_debut;commentaire_de_changement
1;Saint-Jacques administration Avon;2022-01-16;2022-01-16;2022-01-16;reciprocal Manager Refined;12064;Practical Ringgit Fresh;haptic orange executive;Plastic online Account;Balboa Granite
2;systems groupware;2022-01-17;2022-01-16;2022-01-17;c;71345;parsing;Beauty;Baby;target Practical
3;virtual Fundamental wireless;2022-01-16;2022-01-16;2022-01-16;Adolphe collaborative User-centric;73969;Haute-Normandie;Cheese RSS Account;compressing Plastic;Frozen copy
4;USB;2022-01-17;2022-01-17;2022-01-16;Canada Car system-worthy;38548;Licensed Intelligent Metical;Bedfordshire Buckinghamshire Executif;Cotton utilize virtual;a
5;Decentralized Du Stagiaire;2022-01-16;2022-01-16;2022-01-17;c Specialiste reintermediate;94129;b;parse;PNG withdrawal content;SSL
6;bypass Monsieur-le-Prince Concrete;2022-01-17;2022-01-16;2022-01-16;port c d'Alésia;15951;paradigm;Market auxiliary Account;Garden Plastic mobile;dynamic b Object-based
7;Steel Account;2022-01-17;2022-01-17;2022-01-16;Languedoc-Roussillon niches;64683;HTTP Small Peso;Technicien up withdrawal;a SSL Rubber;quantify Consultant
8;Buckinghamshire Ergonomic;2022-01-16;2022-01-16;2022-01-16;override Sierra;36563;Clothing array Card;Limousin;capacity neural b;Cotton solid Berkshire
9;cross-platform;2022-01-17;2022-01-17;2022-01-17;engage;2991;distributed circuit;Chicken B2C protocol;PCI d'Azur;Avon c Biélorussie
10;AI;2022-01-16;2022-01-17;2022-01-16;Gloves users d'Argenteuil;85209;Bacon Unbranded;indigo bifurcated Kuna;engineer e-business;e-business Nord-Pas-de-Calais
